Ticker|Name|Exchange|Country
SX3570GI.ST|SX3570GI/OMXS INDEX|STO|Sweden
^NQUSS3722EUR|NQ US Sm Cap Durable Hhld Produ|NIM|USA
ICSPX.PA|CSETF(IE)SP500INAV|PAR|France
D1A5.DE|DAXGLOBAL BRIC PR USD|GER|Germany
^NQLA8600EUR|NASDAQ Lat America Real Estate |NIM|USA
^OMXV|OMX VILNIUS INDEX|LIT|Lithuania
SXGBNCAV.Z|STXG30XCAUSDNR|ZRH|Switzerland
WINLD3740.FGI|FTSE NLD HOUSE&TEXT;|FGI|UK
^NQJP2000T|NASDAQ Japan Inds TR Index|NIM|USA
Q5R.Z|STXETMTHEQ EUR P|ZRH|Switzerland
^NQGREURT|NASDAQ Greece EUR TR Index|NIM|USA
4N71.DE|DAXSUB ALL RETS K|GER|Germany
AEXCC.AS|AEX COVD CALL INDEX|AMS|Netherlands
21561428.PA|VANG VWRL|PAR|France
^NQDMXUSXKRSCGBPN|Nasdaq DM Ex US Ex Korea Small |NIM|USA
XIN42790.L|FTSE China A 600 Support Servic|LSE|UK
^NQUSL5330N|NQ US Lg Cap Food & Drug Rtlrs |NIM|USA
^KQ11|Kosdaq Composite Index|KOE|South Korea
